mean_answer_step,hidden_dimension
0.2890625,24
0.3203125,24
0.62890625,24
0.90625,24
0.41015625,24
0.73828125,24
0.97265625,24
0.65625,24
0.93359375,24
0.75,24
0.76171875,24
0.52734375,24
0.55859375,24
0.76171875,24
1.01953125,24
0.390625,24
0.51171875,24
0.46484375,24
0.26953125,24
0.84375,24
0.5390625,24
0.5390625,24
0.6484375,24
0.765625,24
0.1796875,24
0.6171875,24
0.4296875,24
0.89453125,24
0.85546875,24
0.62109375,24
0.52734375,24
0.39453125,24
0.6171875,24
0.5546875,24
0.61328125,24
0.75,24
0.3359375,24
0.6015625,24
0.71875,24
0.75390625,24
0.53125,24
0.55078125,24
0.50390625,24
0.88671875,24
0.59375,24
0.6953125,24
0.5390625,24
0.62109375,24
0.47265625,24
0.62890625,24
0.09765625,24
0.7421875,24
0.6640625,24
0.1953125,24
0.77734375,24
0.66015625,24
0.859375,24
0.6796875,24
0.33203125,24
0.48046875,24
0.73046875,24
0.4140625,24
0.484375,24
0.1484375,24
0.71875,24
0.41796875,24
0.1875,24
0.79296875,24
0.41796875,24
0.58203125,24
0.48046875,24
0.81640625,24
0.75,24
0.15234375,24
0.62890625,24
0.609375,24
0.35546875,24
0.73828125,24
0.453125,24
0.74609375,24
0.76171875,24
0.65234375,24
0.76953125,24
0.88671875,24
0.05859375,24
0.5859375,24
0.2265625,24
0.8984375,24
0.83984375,24
0.91015625,24
0.76953125,24
0.83984375,24
0.09375,24
0.35546875,24
0.77734375,24
0.74609375,24
0.578125,24
0.8203125,24
0.375,24
0.80078125,24
0.7421875,24
0.671875,24
0.671875,24
0.84375,24
0.22265625,24
0.7890625,24
0.8828125,24
0.79296875,24
0.48828125,24
0.03125,24
0.4140625,24
0.3984375,24
0.7578125,24
0.75,24
0.7890625,24
0.57421875,24
0.15234375,24
0.79296875,24
0.80078125,24
0.95703125,24
0.61328125,24
0.859375,24
0.74609375,24
0.7265625,24
0.27734375,24
0.26953125,24
0.67578125,24
0.73828125,24
0.75390625,24
0.71875,24
0.79296875,24
0.36328125,24
0.46875,24
0.62890625,24
0.17578125,24
0.7734375,24
0.125,24
0.72265625,24
0.63671875,24
0.578125,24
0.8828125,24
0.87890625,24
0.9453125,24
0.5078125,24
0.7890625,24
0.828125,24
0.6640625,24
0.42578125,24
0.58984375,24
0.59375,24
0.63671875,24
0.69140625,24
0.65234375,24
0.58203125,24
0.484375,24
0.79296875,24
0.765625,24
0.95703125,24
0.85546875,24
0.3984375,24
0.51953125,24
0.6640625,24
0.47265625,24
0.69140625,24
0.38671875,24
0.71875,24
0.75,24
0.6796875,24
0.50390625,24
0.28515625,24
0.53125,24
0.26953125,24
0.83984375,24
0.19921875,24
0.8828125,24
0.64453125,24
0.65625,24
0.640625,24
0.80078125,24
0.609375,24
1.2421875,24
0.6328125,24
0.55859375,24
1.05078125,24
0.81640625,24
0.5078125,24
0.8125,24
0.6640625,24
0.390625,24
0.8203125,24
0.2109375,24
0.546875,24
0.65625,24
0.6640625,24
0.8671875,24
0.9609375,24
0.6875,24
0.36328125,24
0.78125,24
0.33203125,24
0.82421875,24
0.77734375,24
0.43359375,24
0.0234375,24
0.234375,24
0.55078125,24
0.7265625,24
0.79296875,24
0.6328125,24
0.6484375,24
0.37890625,24
0.7578125,24
0.2578125,24
0.6484375,24
0.609375,24
0.66015625,24
0.75390625,24
1.01953125,24
0.8984375,24
0.81640625,24
0.7578125,24
0.46484375,24
0.5625,24
0.54296875,24
0.46484375,24
0.8203125,24
0.78125,24
0.625,24
0.08203125,24
0.390625,24
0.703125,24
0.4296875,24
0.70703125,24
0.984375,24
0.56640625,24
0.6015625,24
0.421875,24
0.61328125,24
0.5390625,24
0.265625,24
0.8046875,24
0.46875,24
0.24609375,24
0.76953125,24
0.77734375,24
0.12109375,24
0.5703125,24
1.02734375,24
0.73828125,24
0.125,24
0.7734375,24
0.7734375,24
0.30859375,24
0.953125,24
0.140625,24
0.5234375,24
0.80859375,24
0.515625,24
0.76953125,24
0.015625,24
0.76171875,24
0.80078125,24
0.21875,24
0.86328125,24
0.76171875,24
0.32421875,24
0.359375,24
0.7578125,24
0.390625,24
0.6015625,24
0.87890625,24
0.5078125,24
0.5,24
0.8828125,24
0.1484375,24
0.75,24
0.49609375,24
0.8984375,24
0.54296875,24
0.421875,24
0.53515625,24
0.51171875,24
0.08203125,24
0.79296875,24
0.48828125,24
0.3203125,24
0.8203125,24
0.68359375,24
0.18359375,24
0.83984375,24
0.609375,24
0.27734375,24
0.78125,24
0.5234375,24
0.7109375,24
0.47265625,24
0.24609375,24
0.890625,24
0.765625,24
0.78515625,24
0.90234375,48
0.7890625,48
0.515625,48
0.6328125,48
0.5546875,48
0.890625,48
0.84765625,48
0.6328125,48
0.50390625,48
0.48046875,48
0.9375,48
0.734375,48
0.515625,48
0.8828125,48
0.875,48
0.828125,48
0.6640625,48
0.625,48
0.45703125,48
0.5234375,48
0.74609375,48
0.8203125,48
0.85546875,48
0.44921875,48
0.6796875,48
0.3984375,48
0.72265625,48
